"Compound/Formulation","Species","Avg/Med Lifespan Change (%)","Max Lifespan Change (%)","Strain","Dosage","Significant?","Reference"
"Nicotinamide riboside","Mus musculus","4.7","","C57BL/6J","400 mg/kg/day","Y","27127236"
"Sorbitol","Caenorhabditis elegans","17.9","","N2","1%","Y","26579191"
"Sorbitol","Caenorhabditis elegans","32.7","","N2","2.50%","Y","26579191"
"Sorbitol","Caenorhabditis elegans","16","","N2","12.50%","Y","26579191"
"Sorbitol","Caenorhabditis elegans","27.12","","N2","5%","Y","26579191"
"Piceatannol","Caenorhabditis elegans","18.3","","N2","50 µM","Y","28128482"
"Piceatannol","Caenorhabditis elegans","18.3","","N2","100 µM","Y","28128482"
"Buthionine Sulfoximine","Musca Domestica","-30","","","3 mM","Y","2866912"
"2-Oxothiazolidine-4-carboxylate","Musca Domestica","-24","","","3 mM","Y","2866912"
"Quercetin","Mus musculus","-5.8","","LACA","10 mg/day","N","7140862"
"Crocus Sativus Aqueous Extract","Drosophila melanogaster","18.3","","w1118","1%","Y","27878268"
"Crocus Sativus Aqueous Extract","Drosophila melanogaster","8.8","","w1118","1%","Y","27878268"
"Calycosin","Caenorhabditis elegans","6.24","","N2","50 µM","Y","28434978"
"Calycosin","Caenorhabditis elegans","15.64","","N2","100 µM","Y","28434978"
"Calycosin","Caenorhabditis elegans","17.8","","N2","400 µM","Y","28434978"
"Calycosin","Caenorhabditis elegans","24.86","","N2","200 µM","Y","28434978"
"Rutin","Drosophila melanogaster","17","","Canton-S","200 µM","Y","28389882"
"Rutin","Drosophila melanogaster","23.52","","Canton-S","400 µM","Y","28389882"
"Rutin","Drosophila melanogaster","-23","","Canton-S","600 µM","Y","28389882"
"Rutin","Drosophila melanogaster","-38","","Canton-S","800 µM","Y","28389882"
"Rutin","Drosophila melanogaster","30","","Canton-S","200 µM","Y","28389882"
"Rutin","Drosophila melanogaster","43.33","","Canton-S","400 µM","Y","28389882"
"Rutin","Drosophila melanogaster","-13.33","","Canton-S","600 µM","Y","28389882"
"Rutin","Drosophila melanogaster","-16.66","","Canton-S","800 µM","Y","28389882"
"Oleic Acid","Caenorhabditis elegans","17.29","","N2","800 µM","Y","28379943"
"Palmitoleic acid","Caenorhabditis elegans","17.09","","N2","800 µM","Y","28379943"
"cis-vaccenic acid","Caenorhabditis elegans","13.06","","N2","800 µM","Y","28379943"
"Fructose","Caenorhabditis elegans","21.96","","N2","55 mM","Y","27680107"
"Fructose","Caenorhabditis elegans","45.66","","N2","100 mM","Y","27680107"
"Fructose","Caenorhabditis elegans","-31.79","","N2","555 mM","Y","27680107"
"Glucose","Caenorhabditis elegans","-46.8","","N2","111 mM","Y","27680107"
"Silymarin","Caenorhabditis elegans","4.55","","N2","10 µM","Y","28039083"
"Silymarin","Caenorhabditis elegans","13.64","","N2","50 µM","Y","28039083"
"Silychristin A/B","Caenorhabditis elegans","7.06","","N2","10 µM","Y","28039083"
"Silydianin","Caenorhabditis elegans","5.88","","N2","10 µM","Y","28039083"
"Silybin A/B","Caenorhabditis elegans","9.04","","N2","10 µM","Y","28039083"
"Isosilybin A/B","Caenorhabditis elegans","6.82","","N2","10 µM","Y","28039083"
"2,3-dehydrosilybin","Caenorhabditis elegans","2.16","","N2","5 µM","Y","28039083"
"2,3-dehydrosilybin","Caenorhabditis elegans","10.15","","N2","10 µM","Y","28039083"
"2,3-Dehydrosilybin A","Caenorhabditis elegans","12.55","","N2","10 µM","Y","28039083"
"2,3-Dehydrosilybin B","Caenorhabditis elegans","7.18","","N2","10 µM","Y","28039083"
"7-methyl-Dehydrosilybin","Caenorhabditis elegans","-9","","N2","10 µM","Y","28039083"
"Glucose","Caenorhabditis elegans","-18.69","","N2","400 mM","Y","27776915"
"18α-Glycyrrhetinic acid","Caenorhabditis elegans","6.25","","N2","10 µg/ml","N","26886723"
"18α-Glycyrrhetinic acid","Caenorhabditis elegans","11.76","","N2","100 µg/ml","Y","26886723"
"18α-Glycyrrhetinic acid","Caenorhabditis elegans","22","","N2","20 µg/mL","Y","26886723"
"Dimethyl Sulfide","Drosophila melanogaster","13.56","","w1118","10 µM","Y","27790859"
"Dimethyl Sulfide","Drosophila melanogaster","24.25","","w1118","100 µM","Y","27790859"
"Dimethyl Sulfide","Drosophila melanogaster","16.04","","w1118","1 mM","Y","27790859"
"Dimethyl Sulfide","Caenorhabditis elegans","8.43","","N2","1 µM","Y","27790859"
"Dimethyl Sulfide","Caenorhabditis elegans","24.33","","N2","10 µM","Y","27790859"
"Dimethyl Sulfide","Caenorhabditis elegans","20.14","","N2","5 µM","Y","27790859"
"Metformin","Caenorhabditis elegans","24.46","","N2","50 mM","Y","27984722"
"Pyrroloquinoline quinone","Caenorhabditis elegans","33.33","","N2","500 µM","Y","27090484"
"Pyrroloquinoline quinone","Caenorhabditis elegans","44.44","","N2","1 mM","Y","27090484"
"ursolic acid","Caenorhabditis elegans","32.48","","N2","25 µM","Y","27773812"
"Vitamin D3","Caenorhabditis elegans","10.98","","N2","25 µM","Y","27783938"
"Vitamin D3","Caenorhabditis elegans","28.77","","N2","50 µM","Y","27783938"
"Vitamin D3","Caenorhabditis elegans","23.29","","N2","100 µM","Y","27783938"
"Vitamin D3","Caenorhabditis elegans","47.95","","N2","250 µM","Y","27783938"
"Urolithin A","Caenorhabditis elegans","24","","N2","10 µM","Y","27400265"
"Urolithin A","Caenorhabditis elegans","40.7","","N2","30 µM","Y","27400265"
"Urolithin A","Caenorhabditis elegans","37.5","","N2","50 µM","Y","27400265"
"Urolithin B","Caenorhabditis elegans","36.6","","N2","50 µM","Y","27400265"
"Urolithin C","Caenorhabditis elegans","36","","N2","50 µM","Y","27400265"
"Urolithin D","Caenorhabditis elegans","19","","N2","50 µM","Y","27400265"
"Resveratrol","Caenorhabditis elegans","22.2","","N2","100 µM","Y","27190265"
"Resveratrol","Caenorhabditis elegans","23.7","","N2","500 µM","Y","27190265"
"Resveratrol","Caenorhabditis elegans","30.4","","N2","1 mM","Y","27190265"
"Oxyresveratrol","Caenorhabditis elegans","7.4","","N2","100 µM","Y","27190265"
"Oxyresveratrol","Caenorhabditis elegans","17.8","","N2","500 µM","Y","27190265"
"Oxyresveratrol","Caenorhabditis elegans","31.1","","N2","1 mM","Y","27190265"
"Enalapril","Rattus norvegicus","21.36","","Wistar","10 mg/kg/day","Y","17557916"
"Losartan","Rattus norvegicus","19.32","","Wistar","30 mg/kg/day","Y","17557916"
"jujube fruit powder","Drosophila melanogaster","11.1","","w1118","150 mg/ml","Y","28251407"
"Butylated hydroxyanisole","Caenorhabditis elegans","6.38","","N2","25 µM","Y","28054425"
"Paraquat","Caenorhabditis elegans","13.53","","N2","100 µM","Y","28054425"
"Epicatechin","Drosophila melanogaster","7.5","","Canton S","1 µM","Y","28066251"
"Quercetin","Drosophila melanogaster","13","","Canton-S","1 µM","Y","28066251"
"Epicatechin","Drosophila melanogaster","16","","Canton-S","1 µM","Y","28066251"
"Ibuprofen","Drosophila melanogaster","23","","Canton-S","1 µM","Y","28066251"
"Salicylamine","Caenorhabditis elegans","32","","N2","100 µM","Y","27514077"
"Salicylamine","Caenorhabditis elegans","56","","N2","500 µM","Y","27514077"
"Oleanolic acid","Caenorhabditis elegans","11.18","","N2","200 µM","Y","26592451"
"Oleanolic acid","Caenorhabditis elegans","16.63","","N2","300 µM","Y","26592451"
"Zinc Sulfate","Caenorhabditis elegans","-14","","N2","500 µM","Y","27078872"
"TPEN","Caenorhabditis elegans","43","","N2","200 µM","Y","27078872"
"Rapamycin","Mus musculus","16","","C57BL/6JNia","8 mg/kg/day","Y","27549339"
"Rapamycin","Mus musculus","0","","C57BL/6JNia","8 mg/kg/day","N","27549339"
"Rapamycin","Mus musculus","8","","C57BL/6JNia","128 ppm","Y","27549339"
"Rapamycin","Mus musculus","8","","C57BL/6JNia","128 ppm","Y","27549339"
"Rapamycin","Mus musculus","26","","C57BL/6JNia","8 mg/kg/day","Y","27549339"
"Rapamycin","Mus musculus","36.7","","C57BL/6JNia","128 ppm","Y","27549339"
"Wortmannin","Caenorhabditis elegans","-4.1","","N2","1 µM","Y","23543623"
"Pictilisib","Caenorhabditis elegans","9.6","","N2","1 µM","Y","23543623"
"Phosphatidylinositol ether lipid analogue 6","Caenorhabditis elegans","10","","N2","1 µM","Y","23543623"
"Phosphatidylinositol ether lipid analogue 24","Caenorhabditis elegans","14","","N2","1 µM","Y","23543623"
"Chlorophyll","Caenorhabditis elegans","13.54","","N2","1 µg/ml","Y","27077003"
"Chlorophyll","Caenorhabditis elegans","23.37","","N2","10 µg/ml","Y","27077003"
"Chlorophyll","Caenorhabditis elegans","25.96","","N2","40 µg/ml","Y","27077003"
"Chlorophyll","Caenorhabditis elegans","13.9","","N2","80 µg/ml","Y","27077003"
"Chlorophyll","Caenorhabditis elegans","11.18","","N2","100 µg/ml","Y","27077003"
"Spermidine","Mus musculus","10.6","","C57BL/6J","0.3mM","Y","27841876"
"Spermidine","Mus musculus","6.5","","C57BL/6J","3 mM","Y","27841876"
"Rotenone","Nothobranchius furzeri","8.1","","MZM-0410","15 pM","Y","27135165"
"Rotenone","Nothobranchius furzeri","-20.09","","MZM-0410","150 pM","Y","27190265"
"Chlorophytum borivilianum polysaccharide extract","Caenorhabditis elegans","10","","CB5586","1 ng/ml","Y","28727758"
"Resveratrol","Caenorhabditis elegans","5","","CB5586","10 µg/ml","Y","28727758"
"Chlorophytum borivilianum polysaccharide extract","Saccharomyces cerevisiae","15","","FY631","1 µg/ml","ND","28727758"
"Chlorophytum borivilianum polysaccharide extract","Saccharomyces cerevisiae","37","","FY631","100 ng/ml","ND","28727758"
"Chlorophytum borivilianum polysaccharide extract","Saccharomyces cerevisiae","55","","FY631","10 ng/ml","ND","28727758"
"Chlorophytum borivilianum polysaccharide extract","Saccharomyces cerevisiae","23","","FY631","1 ng/ml","ND","28727758"
"Resveratrol","Saccharomyces cerevisiae","20","","FY631","10 µg/ml","ND","28727758"
"Nicotinamide","Mus musculus","","","C57BL/6J","0.5/kg","N","29514072"
"Nicotinamide","Mus musculus","","","C57BL/6J","1 g/kg","Y","29514072"
"Nicotinamide mononucleotide","Mus musculus","","","C57BL/6N","100 mg/kg/day","Y","28068222"
"Nicotinamide mononucleotide","Mus musculus","","","C57BL/6N","300 mg/kg/day","N","28068222"
"Argyreia boseana","Caenorhabditis elegans","4.25","","N2","1 mg/mL","Y","30448258"
"Argyreia boseana","Caenorhabditis elegans","-3.8","","N2","0.1 mg/mL","N","30448258"
"Argyreia boseana","Caenorhabditis elegans","-5.4","","N2","0.01 mg/mL","Y","30448258"
"Resveratrol","Caenorhabditis elegans","60.23","","N2","50 µM","Y","30320257"
"Selenocysteine","Caenorhabditis elegans","41.9","","N2","5 mM","Y","30365103"
"Selenocysteine","Caenorhabditis elegans","6.93","","N2","5 mM","Y","30365103"
"Lonicera japonica","Caenorhabditis elegans","4.04","","N2","50 µg/mL","N","30266681"
"Lonicera japonica","Caenorhabditis elegans","12.13","","N2","100 µg/mL","N","30266681"
"Lonicera japonica","Caenorhabditis elegans","15.17","","N2","200 µg/mL","N","30266681"
"Lonicera japonica","Caenorhabditis elegans","21.87","","N2","500 µg/mL","Y","30266681"
"Lonicera japonica","Caenorhabditis elegans","17.07","","N2","1000 µg/mL","Y","30266681"
"Glucomannan Hydrolysate","Drosophila melanogaster","20.2","","B18","0.25% w/v","Y","30137218"
"Glucomannan Hydrolysate","Drosophila melanogaster","14.88","","B18","0.25% w/v","Y","30137218"
"Glucomannan Hydrolysate","Drosophila melanogaster","11.7","","Oregon-R","0.25% w/v","Y","30137218"
"Glucomannan Hydrolysate","Drosophila melanogaster","17.66","","Canton-S","0.25% w/v","Y","30137218"
"Glucomannan Hydrolysate","Drosophila melanogaster","13.4","","DGRP-21","0.25% w/v","Y","30137218"
"Glucomannan Hydrolysate","Drosophila melanogaster","10.1","","DGRP-38","0.25% w/v","Y","30137218"
"Glucomannan Hydrolysate","Drosophila melanogaster","4.6","","DGRP-40","0.25% w/v","Y","30137218"
"Glucomannan Hydrolysate","Drosophila melanogaster","10","","DGRP-85","0.25% w/v","Y","30137218"
"Glucomannan Hydrolysate","Drosophila melanogaster","7.3","","DGRP-136","0.25% w/v","Y","30137218"
"Polygonum multiflorum Extract","Caenorhabditis elegans","1.5","","N2","10 µg/mL","N","30036983"
"Polygonum multiflorum Extract","Caenorhabditis elegans","4.8","","N2","100 µg/mL","N","30036983"
"Polygonum multiflorum Extract","Caenorhabditis elegans","18.6","","N2","1000 µg/mL","Y","30036983"
"Caffeine","Caenorhabditis elegans","15.39","","N2","50 µg/mL","Y","30061824"
"Xanthine","Caenorhabditis elegans","0.82","","N2","50 µg/mL","N","30061824"
"1-methylxanthine","Caenorhabditis elegans","5.05","","N2","50 µg/mL","Y","30061824"
"3-methylxanthine","Caenorhabditis elegans","0.93","","N2","50 µg/mL","N","30061824"
"7-methylxanthine","Caenorhabditis elegans","8.41","","N2","50 µg/mL","Y","30061824"
"1,3-dimemethyl Xan","Caenorhabditis elegans","5.54","","N2","50 µg/mL","Y","30061824"
"1,7-dimethylxanthine","Caenorhabditis elegans","14.75","","N2","50 µg/mL","Y","30061824"
"3,7-dimethylxanthine","Caenorhabditis elegans","-0.84","","N2","50 µg/mL","N","30061824"
"Damaurone D","Caenorhabditis elegans","7.49","","N2","5 µM","Y","29992572"
"Damaurone D","Caenorhabditis elegans","12.6","","N2","10 µM","Y","29992572"
"Damaurone D","Caenorhabditis elegans","16.7","","N2","15 µM","Y","29992572"
"2,5-Di-tert-butylhydroquinone","Caenorhabditis elegans","15.2","","N2","250 µM","Y","29988547"
"2,5-Di-tert-butylhydroquinone","Caenorhabditis elegans","14.2","","N2","350 µM","Y","29988547"
"Thapsigargin","Caenorhabditis elegans","9.6","","N2","10 nM","Y","29988547"
"Enoxacin","Caenorhabditis elegans","18","","N2","100 µg/mL","Y","29986212"
"Mussel peptides","Caenorhabditis elegans","29.9","","N2","2 mg/ml","Y","29796528"
"Methyl 3,4-dihydroxybenzoate","Caenorhabditis elegans","19","","N2","160 mg/mL","Y","29874838"
"Resveratrol","Caenorhabditis elegans","13.5","","N2","100 µM","Y","29874838"
"Rapamycin","Caenorhabditis elegans","21.3","","N2","100 µM","Y","29874838"
"1,2,3-Triazolyl ester of ketorolac","Caenorhabditis elegans","15","","N2","50 nM","Y","29760342"
"Tert-butyl hydroperoxide","Drosophila melanogaster","18.3","","w iso31","1.25 mM","Y","29515102"
"Tert-butyl hydroperoxide","Drosophila melanogaster","12.1","","w iso31","2.5 mM","Y","29515102"
"Tert-butyl hydroperoxide","Drosophila melanogaster","19.7","","w iso31","5 mM","Y","29515102"
"Tert-butyl hydroperoxide","Drosophila melanogaster","17.4","","w iso31","10 mM","Y","29515102"
"Tert-butyl hydroperoxide","Drosophila melanogaster","16.7","","w iso31","1 mM","Y","29515102"
"Tert-butyl hydroperoxide","Drosophila melanogaster","11.9","","w iso31","5 mM","Y","29515102"
"Tert-butyl hydroperoxide","Drosophila melanogaster","28.4","","Canton-S","5 mM","Y","29515102"
"Tert-butyl hydroperoxide","Drosophila melanogaster","22.7","","Canton-S","1 mM","Y","29515102"
"Tert-butyl hydroperoxide","Drosophila melanogaster","22.6","","Canton-S","5 mM","Y","29515102"
"Tert-butyl hydroperoxide","Drosophila melanogaster","12.2","","w iso31","1 mM","Y","29515102"
"Arbutin","Caenorhabditis elegans","11.89","","N2","5 mM","Y","29340230"
"phenylethanoid glycosides","Caenorhabditis elegans","15.98","","N2","500 µg/mL","Y","29185166"
"Echinacoside","Caenorhabditis elegans","13.64","","N2","200 µM","Y","29185166"
"Shatavarin IV","Caenorhabditis elegans","17.26","","N2","50 µM","Y","29069955"
"Emodin","Caenorhabditis elegans","9.68","","N2","50 µM","Y","28831863"
"Emodin","Caenorhabditis elegans","19.74","","N2","150 µM","Y","28831863"
"ursolic acid","Caenorhabditis elegans","31.3","","N2","25 µM","Y","28673026"
"Tomatidine","Caenorhabditis elegans","7","","N2","25 µM","Y","28397803"
"L2-Cmu","Mus musculus","9","","CB6F1","20 mg/kg weekly i.p. injection","Y","29921922"
"Dasatinib + Quercetin","Mus musculus","6.29","","C57BL/6","5 mg/kg (Das) + 50 mg/kg (Que)","Y","29988130"
"Diosgenin","Caenorhabditis elegans","20.8","","N2","50 µg/mL","Y","28954389"
"Calcium Pantothenate","Drosophila melanogaster","27.8","","Oregon","0.5g/kg","Y","18856647"
"Sodium Yeast Nucleate","Drosophila melanogaster","20.3","","Oregon","5 g/kg","Y","18856648"
"Calcium Pantothenate","Mus musculus","18.3","","C-57 black","300 µg/day","Y","13614445"
"Calcium Pantothenate","Mus musculus","20.02","","C-57 black","300 µg/day","Y","13614445"
"Disulfiram","Rattus norvegicus","-21.18","","Wistar","1 in 1000","Y","5469789"
"Disulfiram","Rattus norvegicus","-5.08","","Wistar","1 in 2000","N","5469789"
"Minocycline","Caenorhabditis elegans","5","","N2","50 µM","N","30479271"
"Minocycline","Caenorhabditis elegans","36","","N2","100 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","43","","N2","200 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","6","","N2","50 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","33","","N2","100 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","12","","N2","200 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","43","","N2","50 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","51","","N2","100 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","10","","N2","200 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","30","","N2","100 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","14","","N2","200 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","33","","N2","50 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","48","","N2","100 µM","Y","30479271"
"Minocycline","Caenorhabditis elegans","30","","N2","200 µM","Y","30479271"
"ursolic acid","Drosophila melanogaster","12.78","","w1118","50 µmol/L","Y","30496629"
"ethanol extract of Agrimonia procera herba","Caenorhabditis elegans","8.1","","N2","50 µg/mL","Y","30558122"
"ethanol extract of Agrimonia procera herba","Caenorhabditis elegans","12.7","","N2","100 µg/mL","Y","30558122"
"ethanol extract of Agrimonia procera herba","Caenorhabditis elegans","7.5","","N2","200 µg/mL","Y","30558122"
"Paxilline","Caenorhabditis elegans","26.62","","N2","10 nM","Y","30613772"
"Ellagic acid","Caenorhabditis elegans","-4.3","","N2","50 µM","N","27400265"
"Urolithin B","Caenorhabditis elegans","36.6","","N2","50 µM","Y","27400265"
"Urolithin C","Caenorhabditis elegans","36","","N2","50 µM","Y","27400265"
"Urolithin D","Caenorhabditis elegans","19","","N2","50 µM","Y","27400265"
"Urolithin A","Caenorhabditis elegans","45.4","","N2","50 µM","Y","27400265"
"Urolithin A","Caenorhabditis elegans","40.7","","N2","30 µM","Y","27400265"
"Urolithin A","Caenorhabditis elegans","24","","N2","10 µM","Y","27400265"
"Tanespimycin","Caenorhabditis elegans","23.52","","N2","100 µM","Y","30625143"
"CGP37157","Caenorhabditis elegans","14.9","","N2","50 µM","Y","30705628"
"CGP37157","Caenorhabditis elegans","10.9","","N2","100 µM","Y","30705628"
"Quercetin","Mus musculus","-14.2","","LACA","10 mg/day","Y","7140862"
"Quercetin","Mus musculus","-11.6","","LACA","10 mg/day","Y","7140862"
"Zearalenone","Caenorhabditis elegans","-19.05","","N2","50 μM","Y","33940230"
"Zearalenone","Caenorhabditis elegans","-4.76","","N2","1.25 μM","N","33940230"
